Аббас	عباس	Лев (нахмуренный)
Заки	زكي	Чистый; невинный
Закир	ذاكر	Поминающий
Залиль	ظليل	Тенистый, прохладный
Зайн	زين	Убор, украшение, краса
Замиль	زامل	Сажающий позади себя
Замга	زمعة	Решительный, серьёзный
Зариф	ظريف	Красивый, изящный
Зафар	ظفر	Победа, триумф, успех
Зафир	ظافر	Победоносный
Захаб	ذهب	Золото
Захран	زهران	Яркий, красивый
Зайни	زيني	Украшенный, красивый
Зейд	زيد	Рост, увеличение, богатство
Зейб	ذئب	Волк
Зирьяб	زرياب	Жидкое золото
Зияд	زياد	Увеличение, прибавление
Зияди	زيادي	Увеличивающийся
Зубейр	زبير	Сильный, умный, упрямый
Зухейр	زهير	от слова захр – «цветы»
Заира	زائرة	Посетительница, гостья
Зайнаб	زينب	Дерево с приятным запахом
Зайтуна	زيتونة	Оливка
Закира	ذاكرة	Поминающая
Закия	زكية	Чистая; невинная
Замиля	زَمِيلَةٌ	Спутница; подруга; коллега, сослуживица; партнерша
Замзам	زمزم	Название источника в Мекке
Зарифа	ظريفة	Красивая, остроумная
Зарият	ذاريات	Уносящие, рассеивающие
Зафира	ظافرة	Победоносная
Захида	زاهدة	Аскетка
Захира	زاهرة	Блестящая; яркая, прекрасная
Захра	زهرة	Цветок, красота
Захра	زهراء	Блестящая, яркая
Зайна	زينة	Красивая
Зайнаб	زينب	Дерево с приятным запахом
Зикра	ذكرى	Воспоминание, память
Зикраят	ذكريات	Воспоминания
Зинат	زينات	Украшения, иллюминации
Зиёда	---	Лучистая, светлая
Зубейда	زبيدة	Ноготки (цветок); сливочное масло
Зульфа	زلفى	Снискание благосклонности
Зульхиджжа	ذو الحجة	12-ый месяц лунного календаря
Зумуруд	زمرد	Изумруд
Зухра	زهرة	Название планеты Венера
Зухур	زهور	Цветы
Ибрахим	إبراهيم	Имя пророка (Ибрахим )
Ид	عيد	Праздник
Идрис	إدريس	Имя пророка (Идрис )
Иззуд-дин	عز الدين	Сила, мощь, величие религии
Икбал	إقبال	Успех, счастье, встреча, одобрение
Икрам	إكرام	Почет, почтение, уважение
Ильяс	إلياس	Имя пророка (Ильяс )
Имад	عماد	Колонна, опора, подпора
Имам	إمام	Руководитель, глава, вождь, имам
Имран	عمران	Имя отца Марьям Умм Иса
Инад	عناد	Упрямство, противодействие
Ирфан	عرفان	Знание, познание, признательность, ирфан
Иршад	إرشاد	Наставление, руководство, указание
Иса	عيسى	Имя пророка (Иса ибн Марйам )
Исам	عصام	Удержание, предохранение
Искандер	إسكندر	Имя пророка Зуль-Карнайна
Ислам	إسلام	Покорность, преданность
Ислах	إصلاح	Исправление, реформирование
Исмаил	إسماعيل	Имя пророка (Исмаил )
Исхак	إسحاق	ИсаакИмя пророка (Исхак )
Ихаб	إيهاب	Дар, подарок
Ихсан	إحسان	Искренность, благодеяние, ихсан
Ияд	إياد	Смелый, сильный
Ияс	إياس	Дар; замена; волк
Ибтихадж	ابتهاج	Радость, ликование, восторг
Ибтихаль	ابتهال	Моление; мольба
Иджляль	إجلال	Почитание, уважение, благоговение
Икрима	عكرمة	Голубка
Иктималь	اكتمال	Полнота, законченность, зрелость
Ильхам	إلهام	Вдохновение
Иман	إيمان	Вера, иман
Имтисаль	امتثال	Подчинение, повиновение
Иная	عناية	Забота
Инсаф	إنصاف	Справедливость
Интисар	انتصار	Победа, триумф
Инширах	انشراح	Радость, ликование, успех
Ингам	إنعام	Награда, милость, благодеяние, усердие
Ирада	إرادة	Воля
Иртияд	ارتياد	Изыскание, посещение
Исар	إيثار	Предпочтение; альтуизм
Ихляс	إخلاص	Искренность, ихляс
Ихтирам	احترام	Уважение
Ихтишам	احتشام	Скромность
Ишрак	إشراق	Блеск, свечение
Ихтибар	اعتبار	Уважение, почет, престиж
Ихтидаль	اعتدال	Стройность, умеренность, соразмерность
Ихтизаз	اعتزاز	Гордость, высоко ценить, дорожить
Ихтимад	اعتماد	Вера, доверие, опора, утверждение
Кабир	كبير	Великий, большой
Кадир	قادر	Могучий
Казим	كاظم	Сдерживающийся, подавляющий (гнев, ...)
Каид	كايد	Строящий козни
Кайс	قيس	Сила, мощь, победитель; горделивость
Камал	كمال	Совершенство, полнота
Кандиль	قنديل	Лампа, фонарь
Карим	كريم	Щедрый, благородный,
Касим	قاسم	Делящий, разделяющий
Кахтан	قحطان	Голодающий
Кинана	كنانة	Колчан для стрел
Кудама	قدامة	Старый; идущий вперед; первый ряд
Кунут	قنوت	Подчиненность, покорность, чтение дуа
Курбан	قربان	Жертва
Кусам	قثم	Много дающий (добра), щедрый
Кусай	قصي	Далекий; основательно думающий
Кутайба	قتيبة	вьючное седло, горб (уменьш.)
Кухафа	قحافة	Стремительный поток
Кавакиб	كواكب	Светила, звезды, планеты
Кавсар	كوثر	Обилие, изобилие; источник в раю
Камар	قمر	Луна; спутник (космический)
Камиля	كاملة	Полная, целая, совершенная, способная, разносторонняя, полноценная, зрелая
Камра	قمراء	Лунная; лунный свет
Канзи	كنزي	Мое сокровище, мой клад
Кариба	قريبة	Близкая; родная, родственница
Карима	كريمة	Щедрая, великодушная, любезная, дорогая, драгоценная; дочь
Катрун-нада	قطر الندى	Капли росы
Кисма	قسمة	Судьба, доля, участь; деление
Китаф	قطاف	Сбор урожая; время сбора
Кифая	كفاية	Способность, одаренность
Кудва	قدوة	Пример для подражания
Кульсум	كلثوم	Скуластая, с нехудым лицом
Кумаша	قماشة	Кусок ткани
Кунуз	كنوز	Клады, сокровища
Кут	قوت	Пища, продукт питания, корм
Кутуф	قطوف	Кисти, грозди (на растениях)
Латаиф	لطائف	Благодеяния, милости, подарки, тонкости
Латиф	لطيف	Приветливый, милый, мягкий, добрый, любезный,
нежный, изящный, тонкий, интересный, прекрасный
Лейс	ليث	Лев
Любаб	لباب	Все наилучшее, отборное
Латифа	لطيفة	Добрая, ласковая, хорошая
Лейла	ليلى	Экстракт вина; темная ночь
Лин	لين	Мягкость, нежность
Ляали	لآلي	Жемчуг
Ляяли	ليالي	Ночи
Мааруф	معروف	Известный, одобряемый, приличный
Мабрур	مبرور	Благословенный, благочестивый
Магсум	معصوم	Хранимый, безгрешный
Махир	ماهر	Искусный, ловкий, знающий
Маджид	مجيد	Славный, знатный
Мади	ماضي	Отсутствующий, действующий
Мазид	مزيد	Увеличение, прибавление
Мазхар	مظهر	Явление, проявление; внешность, вид
Маймун	ميمون	Счастливый, благословенный; обезьяна
Макбул	مقبول	Принятый, одобряемый, приятный
Макин	مكين	Крепкий, прочный, непоколебимый
Максуд	مقصوم	Искомый, цель, смысл
Мактум	مكتوم	Скрытый, спрятанный, приглушенный
Малик	مالك	Ввладелец, правитель, собственник
Макин	مكين	Крепкий, прочный, непоколебимый
Максуд	مقصوم	Искомый, желанный; цель, смысл
Малик	مالك	Владелец, правитель, собственник
Малих	مليح	Красивый, прекрасный
Мамдух	ممدوح	Восхваляемый
Манар	منار	Место, от которого исходит свет; маяк
Мансур	منصور	Победоносный, победитель
Марсад	مرثد	Благородный
Маршуд	مرشود	Сознательный, благоразумный
Марги	مرعي	Охраняемый, соблюдаемый, принятый
Масуд	مسعود	Счастливый
Масрур	مسرور	Радостный, веселый
Масун	مصون	Оберегаемый, хранимый
Мавджуд	موجود	Существующий, реальный
Махди	مهدي	Ведомый по прямому пути
Махзуз	محظوظ	Осчастливленный, радостный
Махмуд	محمود	Хвалимый, похвальный
Махран	مهران	Искусный, умелый
Махфуз	محفوظ	Хранимый, запоминаемый
Махшуд	محشود	Собранный, сосредоточенный
Машхур	مشهور	Известный
Машкур	مشكور	Достойный благодарности, похвальный
Маъмун	مأمون	Безопасный, верный, надежный
Майсара	ميسرة	Богатство и процветание
Майсур	ميسور	Легкий, возможный, процветание
Микдад	مقداد	Красивый; сильный
Микдам	مقدام	Отважный, смелый
Минхадж	منهاج	Путь, план, программа
Мишари	مشاري	Активный; продавец
Муавия	معاوية	Сильный; собака
Муаз	معاذ	Приют, убежище
Муаммаль	مؤمل	Объект надежд
Муаммар	معمر	Долго живущий; восстановленный
Мубин	مبين	Ясный, очевидный
Мумин	مؤمن	Верующий
Мутаз	معتز	Могущественный, гордый
Мубарак	مبارك	Благословенный
Муваффак	موفقة	Успешный, удачный, счастливый
Муддассир	مدثر	Укрытый, укрывшийся
Муджалид	مجالد	Борец
Муджахид	مجاهد	Ведущий джихад; воин, борец
Муджиб	مجيب	Отвечающий
Муджир	مجير	Покровительствующий, защищающий
Муджтаба	مجتبى	Выбранный, избранный
Музаффар	مظفر	Победоносный
Мукбиль	مقبل	Грядущий, наступающий, будущий
Мукрин	مقرن	Соединяющий между двух вещей
Муктади	مقتدي	Следующий за кем-то
Мунзир	منذر	Увещевающий, предостерегающий
Муниб	منيب	Возвращающийся (к Богу)
Муниф	منيف	Высокий
Мункиз	منقذ	Спасающий
Мунтазар	منتظر	Ожидаемый
Мунтасир	منتصر	Победитель, победоносный
Мурад	مراد	Желанное
Мурди	مرضي	Удовлетворительный, благоприятный
Муртада	مرتضى	Довольный, удовлетворенный
Муса	موسى	Моисей
Мусаид	مساعد	Помощник
Мусир	موسر	Богатый, состоятельный
Муслим	مسلم	Покорившийся, мусульманин
Мустафа	مصطفى	Избранный
Мутим	مطعم	Кормящий, щедрый
Мухаб	مهاب	Уважаемый
Мухаджир	مهاجر	Делающий хиджру, иммигрант
Мухаммад	محمد	Хвалимый, прославляемый
Муханна	مهنا	Счастливый, хорошо живущий
Мухаррам	محرم	Запретный (месяц)
Мухтади	مهتدي	Идущий правильным путем
Мухтар	مختار	Выбранный, отобранный, избранник
Маали	معالي	Высокие качества, заслуги
Маариб	مآرب	Цели, желания, стремления
Маасир	مآثر	Похвальные поступки, достоинства
Маасума	معصومة	Хранимая, непогрешимая, невинная
Мабрука	مبروكة	Благословенная
Мабрура	مبرورة	Благословенная, благочестивая
Мавадда	مودة	Любовь, симпатия
Мавахиб	مواهب	Дары, дарования, таланты
Мавия	ماوية	Водяная, голубая, лазурная
Мадави	مضاوي	Излучающая свет, светильники
Махира	ماهرة	Искусная, ловкая, знающая
Мада	مدى	Предел, пространство
Маджида	مجيدة	Славная, знатная
Мадина	مدينة	Город
Мадиха	مديحة	Хвалебная песня, ода
Мазина	مازنة	Туча с дождем; светлая лицом
Мазия	مزية	Преимущество, свойство
Мазъюна	مزيونة	Красивая
Маида	مائدة	Стол; трапеза
Маймуна	ميمونة	Счастливая, благоприятная
Макбуля	مقبولة	Принятая, приемлемая, приятная
Макка	مكة	Мекка
Макнун	مكنون	Охраняемая, скрытая
Малиха	مليحة	Красивая, интересная, прекрасная
Маляк	ملك	Ангел
Маналь	منال	Получение, достижение
Манахиль	مناهل	Водопои, источники
Маниа	منيعة	Крепкая, сильная, неприступная
Марам	مرام	Желание, стремление
Марахиб	مراحب	Приветствия; просторы
Марджана	مرجانة	Жемчужина, коралл
Марзука	مرزوقة	счастливая
Марфа	مرفأ	Порт; берег
Марьям	مريم	Мария
Масабих	مصابيح	Лампы
Масарра	مسرة	Радость
Масъуда	مسعودة	Счастливая
Масрура	مسرورة	Радостная, веселая
Мастура	مستورة	Честная, закрытая, скрытая
Масуна	مصونة	Оберегаемая, хранимая
Мавджуда	موجودة	Существующая, реальная
Махабба	محبة	Любовь, симпатия
Махасин	محاسن	Хорошие качества, добродетели
Махбуба	محبوبة	Возлюбленная, любимая
Махфуза	محفوظة	Хранимая, запоминаемая
Машаиль	مشاعل	Факелы
Машаир	مشاعر	Чувства
Машхура	مشهورة	Известная
Машкура	مشكورة	Достойная благодарности
Маъмуна	مأمونة	Благополучная, надежная
Маяда	ميادة	Гордая
Маяса	مياسة	Горделиво шествующая
Майса	ميثاء	Мягкая, нежная
Майсун	ميسون	Красивая лицом
Майсура	ميسورة	Легкая, возможная, осуществимая
Миад	ميعاد	Обещанное; срок; свидание
Миляк	ملاك	Главная часть; свадьба
Миляф	Дружеская, дружба
Минара	منارة	Минарет; маяк
Минна	منة	Милость, благодеяние, дар
Мира	ميرة	Провиант, еда
Мубина	مبينة	Ясная, очевидная
Муъмина	مؤمنة	Верующая
Муъниса	مؤنسة	Дружелюбная, подруга
Мусирра	مسرة	Радующая
Муди	موضي	Светлая, излучающая свет
Мумтаза	ممتازة	Отличная, хорошая
Муна	منى	Пожелания, мечты, цели
Мунтаха	منتهى	Цель, конец
Мунья	منية	Желание
Муртаджа	مرتجى	Надежда получить что-то, желание
Мурудж	مروج	Луга, пастбища
Мусиба	مثيبة	Возвращающая; вознаграждающая
Мусмира	مثمرة	Дающая плоды
Мусфира	مسفرة	Блистательная, светлая
Мутиа	مطيعة	Покорная, послушная
Муфида	مفيدة	Полезная
Муфриха	مفرحة	Радующая
Мухджа	مهجة	Сердце, кровь, жизнь, душа
Мухибба	محبة	Любящая
Мухлиса	مخلصة	Искренняя
Мухсина	محسنة	Благодетельная
Мушира	مشيرة	Указывающая, советница
Муяссар	ميسر	Облегченная, успешная, удачливая
Набиль	نبيل	Благородный
Набих	نبيه	Интеллигентный, образованный
Наджах	نجاح	Успех, удача
Наджи	ناجي	Спасшийся, спасенный
Наджиб	نجيب	Благородный, умный, даровитый
Надим	نديم	Друг
Надир	نادر	Редкий, редкостный
Надр	نضر	Свежий, цветущий, прекрасный
Назим	ناظم	Организатор; стихотворец
Назир	نذير	Увещеватель, предвестник
Назих	نزيه	Честный, добродетельный, неподкупный
Наиль	نائل‎‎	Достигающий успеха, приобретающий, достойный подарка
Наим	نعيم	Благополучие, наслаждение, счастье
Намир	نمير	Чистый, полезный
Насир	ناصر	Помощник, приверженец, сторонник
Насиф	ناصف	Справедливый; слуга
Насих	ناصح	Советующий, искренне относящийся
Насиб	نسيب	Близкий, подходящий
Насим	نسيم	Легкий ветерок
Насир	نصير	Защитник, заступник, помощник
Наср	نصر	Помощь; победа
Науфаль	نوفل	Щедрый, защищающий свой народ
Нахид	ناهض	Поднимающийся, возрождающийся
Нашми	نشمي	Храбрый
Низар	نزار	Редкий, малочисленный
Низам	نظام	Порядок, строй, дисциплина
Нур	نور	Свет
Нух	نوح	Ной
Наба	نبأ	Весть, новость
Набига	نابغة	Выдающаяся, талантливая
Наваим	نواعم	Нежные, деликатные
Наваль	نوال	Дар, приобретение, достижение
Нагма	نغمة	Мелодия, напев
Нада	ندى	Роса; влажность; щедрость
Наджат	نجاة	Спасение, избавление; целость
Наджва	نجوى	Тайная молитва (беседа); тайна, секрет
Наджда	نجدة	Помощь, поддержка, храбрость
Наджия	نجية	Близкая подруга, наперсница
Наджиха	نجيحة	Успешная, удачная
Наджма	نجمة	Звезда
Надида	نديدة	Равная, подобная
Надира	نادرة	Редкая, редкостная
Надира	ناضرة	Свежая, цветущая, прекрасная
Надия	نادية	Влажная
Назик	نازك	Прокалывающий, пронзающий
Назира	نذيرة	Увещевательница, предвестница
Назифа	نظيفة	Чистая
Наиля	نائلة	Достигающая, добивающаяся
Наима	نعيمة	Счастливая жизнь, сладость, блаженство
Наля	نالة	Щедрая женщина
Натиджа	نتيجة	Результат
Нафига	نافعة	Полезная, выгодная
Нафиса	نفيسة	Ценная; драгоценность
Нудар	نضار	Золото
Нурия	نورية	Световая, светящаяся
Нуха	نهى	Разум, ум, рассудок, благоразумие
Недал	نضال	Патриот
Раад	رعد	Гром
Рабих	رابح	Доходный, выгодный, выигрывающий
Рабиг	ربيع	Весна, весенний сезон, трава
Рагиб	راغب	Желающий
Раджа	رجاء	Надежда, ожидание, просьба
Раджаб	رجب	седьмого месяца
Раджи	راجي	Надеющийся, полный надежд
Раджих	راجح	Перевешивающий, возможный, вероятный
Разин	رزين	Спокойный, невозмутимый, важный
Раиф	رائف	Сострадательный, милосердный
Рамадан	رمضان	Палящий зной, сжигающий, горячий, жаркий, родившийся в месяце рамадан
Рами	رامي	Бросающий, метающий; стрелок
Рамиз	رامز	Знаменующий, символизирующий
Расим	راسم	Чертежник, рисующий
Расул	رسول	Посланник
Ратиб	راتب	Размеренный, монотонный; зарплата
Рауф	رؤوف	Милосердный, милостивый
Равхан	روحان	Милосердный
Рафик	رفيق	Добрый, мягкий, друг, любовник
Рафиг	رافع	Высокий, звонкий, знатный, изящный
Рахим	رحيم	Милосердный
Рашид	رشيد	Правильный, здравый, благоразумный
Ридван	رضوان	Довольство, удовлетворение, удовольствие
Ризк	رزق	Содержание, удел, доля
Рифат	رفعت	Поднятие, высокое положение
Рияд	رياض	Сады
Рабиа	رابعة	Четвертая
Рабия	رابية	Холм, возвышенность
Равия	راوية	Рассказчица; поильник с водой
Рагда	رغدة	Довольствие, благополучие, богатство
Рада	رادة	Красивая девушка, стройная, изящная; сильный ветер, вихрь
Разия	راضية	Удовлетворенная, приятная; любимая
Разан	رزان	Достойная серьёзная женщина
Раида	رائدة	Исследовательница, искательница
Раиса	رئيسة	Начальница, управляющая
Ракия	راقية	Поднимающаяся, возвышенная
Раним	رنيم	Пение, песнопение
Рания	رانية	Пристально смотрящая
Расия	راسية	Неподвижная, устойчивая
Расмия	رسمية	Официальная, законная; форменная
Раха	رخاء	Благоденствие, хорошая жизнь
Рая	راية	Флаг, знамя
Раяна	ريانة	Напоенная, сочная, полная
Райхана	ريحانة	Одна ветка рейхана; любимая
Рима	ريمة	Белая газель
Рисала	رسالة	Послание, сообщение
Рифад	رفاد	Награждение; помощь
Рияда	ريادة	Изучение, исследование, искание
Рувейда	رويدة	Медленная; идущая легкой походкой
Рукайя	رقية	Возвышенная
Руммана	رمانة	Гранат
Руфейда	رفيدة	Подарок, поддержка, помощь
Саад	سعد	Счастье, успех, удача
Сабир	صابر	Терпеливый
Сабит	ثابت	Смелый, настойчивый
Сабих	صبيح	Красивый
Саддам	صدام	Наносящий удар, поражающий
Садик	صادق	Правдивый
Саджид	ساجد	Совершающий земной поклон
Саид	سعيد	Счастливый
Сайид	سيد	Господин
Сайф	سيف	Меч
Салам	سلام	Мир, безопасность, благополучие
Салах	صلاح	Благо, добро, праведность
Салихм	صالح	Хороший, правильный, праведный
Салим	سليم	Здоровый, невредимый, настоящий
Салман	سلمان	Мирный, безопасный, благополучный
Самир	سمير	Собеседник, рассказчик
Самих	سميح	Щедрый, великодушный
Сами	سامي	Высокий, возвышенный
Санад	سند	Опора, подпора
Сарван	ثروان	Богатый
Сарват	ثروت	Богатство
Сармад	سرمد	Вечный
Сархан	سرحان	Задумавшийся, задумчивый
Сафар	صفر	Второй месяц лунного календаря
Сахир	ساهر	Бодрствующий, бдительный
Синан	سنان	Острие копья; точильный камень
Сирадж	سراج	Светильник, лампа
Сирхан	سرحان	Волк
